a,b,theta,phi1,phi2,E,E_p1,E_p2,E_t1,E_t2,E_t3,E_t4,E_m1,E_m2,machine_type,status,file_name,R3,R4
7.8,6.0,26.5,0,-1,-42.02132458460408,-9.317237105,-9.320995889604092,-14.32407664,-14.34774632,-12.08485741,-12.25673867,14.8104323,14.81989515,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-1_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,0,2,-42.62510843139903,-9.356933387,-9.374955474399028,-14.14295843,-14.39647247,-12.49306521,-12.46467666,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,0,-2,-41.35662207413745,-9.189099562,-9.116885712137446,-14.38205229,-14.43961378,-11.82923494,-12.040304199999998,14.8104323,14.83013611,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,0,-2,-42.237922224968344,-9.356933387,-9.329078217968343,-14.50867126,-14.51379174,-11.97484236,-12.19517367,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,0,2,-42.63051130364954,-9.317237105,-9.301825458649548,-14.13572952,-14.41540445,-12.54790331,-12.51636466,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,1,0,-42.63945331622922,-9.367714009,-9.35693338722922,-14.32027393,-14.33992127,-12.35036317,-12.51633956,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,0,-2,-42.05302011496835,-9.356933387,-9.329078217968343,-14.4625179,-14.50555881,-11.91071083,-12.12878938,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.8,26.5,0,2,-42.31178641519675,-9.189099562,-9.251260703196749,-14.10016225,-14.36481459,-12.51566812,-12.49473439,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.7_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,0,-2,-42.190909179891314,-9.317237105,-9.323229824891314,-14.50690796,-14.53549104,-11.96244276,-12.1861689,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,1,0,-41.999537447354385,-9.222188165,-9.189099562354388,-14.30675737,-14.32892102,-12.20654415,-12.35811919,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,6.0,26.5,0,2,-42.53640362364955,-9.317237105,-9.301825458649548,-14.04261331,-14.35316173,-12.57615381,-12.54936541,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.7_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.8,26.5,0,-2,-41.72096065413744,-9.189099562,-9.116885712137446,-14.47908416,-14.49532412,-11.9335271,-12.14760841,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.7_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,1,0,-42.56750302622922,-9.367714009,-9.35693338722922,-14.34873779,-14.37353071,-12.28650775,-12.44617139,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,0,2,-42.18212403519675,-9.189099562,-9.251260703196749,-14.00164318,-14.29731962,-12.53233479,-12.51441938,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,6.0,26.5,0,-2,-42.2126398398913,-9.317237105,-9.323229824891314,-14.50685148,-14.50080856,-11.98976454,-12.21531674,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.7_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,1,0,-42.596312010522055,-9.311087506,-9.317237104522064,-14.35757313,-14.38422348,-12.33599319,-12.50228961,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,0,-2,-41.70665343413745,-9.189099562,-9.116885712137446,-14.47279024,-14.45569687,-11.94846811,-12.16428135,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,0,2,-42.41386349139903,-9.356933387,-9.374955474399028,-13.95426618,-14.27006686,-12.54110111,-12.52049368,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
