a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.8,12.9,10.0,-29.8759268,-9.007429142,-2.96526713,2,Done,BTBT_theta=10.0_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.9,10.0,-30.04024657,-8.909945464,-3.055088911,2,Done,BTBT_theta=10.0_a=3.9_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.9,10.0,-29.69537963,-8.582705274,-3.132492269,2,Done,BTBT_theta=10.0_a=4.0_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.8,20.0,-37.31170695,-3.42712704,-7.614363218,2,Done,BTBT_theta=20.0_a=7.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,20.0,-31.15910945,-9.524321679,-3.027616523,1,Done,BTBT_theta=20.0_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.9,20.0,-36.83269092,-3.333954355,-7.541195551,2,Done,BTBT_theta=20.0_a=7.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,20.0,-31.14610744,-9.524321679,-3.024366021,1,Done,BTBT_theta=20.0_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,7.0,20.0,-36.25746505,-3.20250356,-7.463114482,2,Done,BTBT_theta=20.0_a=7.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,20.0,-31.08019379,-9.524321679,-3.007887609,1,Done,BTBT_theta=20.0_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.8,20.0,-36.89549212,-3.42712704,-7.510309509,2,Done,BTBT_theta=20.0_a=7.6_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,20.0,-33.19320822,-10.41426264,-3.091170736,1,Done,BTBT_theta=20.0_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.9,20.0,-36.38231444,-3.333954355,-7.428601432,2,Done,BTBT_theta=20.0_a=7.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,7.0,20.0,-35.78138576,-3.20250356,-7.344094661,2,Done,BTBT_theta=20.0_a=7.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,20.0,-33.13156163,-10.41426264,-3.07575909,1,Done,BTBT_theta=20.0_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,20.0,-33.0228016,-10.41426264,-3.048569082,1,Done,BTBT_theta=20.0_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.8,20.0,-36.35533151,-3.42712704,-7.375269357,2,Done,BTBT_theta=20.0_a=7.7_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.9,20.0,-35.82184761,-3.333954355,-7.288484724,2,Done,BTBT_theta=20.0_a=7.7_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,20.0,-33.96897373,-10.69327241,-3.145607229,1,Done,BTBT_theta=20.0_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,7.0,20.0,-35.19747516,-3.20250356,-7.198117009,2,Done,BTBT_theta=20.0_a=7.7_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,20.0,-33.86237233,-10.69327241,-3.118956879,1,Done,BTBT_theta=20.0_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.7,20.0,-37.87896344,-3.468059517,-7.735711101,2,Done,BTBT_theta=20.0_a=7.4_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,20.0,-33.71420467,-10.69327241,-3.081914963,1,Done,BTBT_theta=20.0_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.8,20.0,-37.57347902,-3.42712704,-7.679806235,2,Done,BTBT_theta=20.0_a=7.4_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,20.0,-33.20166705,-10.41426264,-3.093285445,1,Done,BTBT_theta=20.0_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.9,20.0,-37.14150114,-3.333954355,-7.618398107,2,Done,BTBT_theta=20.0_a=7.4_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,20.0,-34.02831108,-10.69327241,-3.160441565,1,Done,BTBT_theta=20.0_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.7,20.0,-37.66224659,-3.468059517,-7.681531888,2,Done,BTBT_theta=20.0_a=7.5_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.7,20.0,-37.28476167,-3.468059517,-7.587160659,2,Done,BTBT_theta=20.0_a=7.6_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,20.0,-33.99153899,-10.56051639,-3.217626551,1,Done,BTBT_theta=20.0_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.6,20.0,-37.97552468,-3.43999727,-7.773882535,2,Done,BTBT_theta=20.0_a=7.3_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.9,20.0,-33.8853894,-10.56051639,-3.191089153,1,Done,BTBT_theta=20.0_a=3.9_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.7,20.0,-37.89924456,-3.468059517,-7.740781382,2,Done,BTBT_theta=20.0_a=7.3_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13.0,20.0,-33.73757314,-10.56051639,-3.154135089,1,Done,BTBT_theta=20.0_a=3.9_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.8,20.0,-37.65144086,-3.42712704,-7.699296696,2,Done,BTBT_theta=20.0_a=7.3_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,20.0,-33.15061284,-10.41426264,-3.080521891,1,Done,BTBT_theta=20.0_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.6,20.0,-38.02211102,-3.43999727,-7.78552912,2,Done,BTBT_theta=20.0_a=7.4_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,20.0,-34.03453597,-10.69327241,-3.16199779,1,Done,BTBT_theta=20.0_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.6,20.0,-37.85506786,-3.43999727,-7.74376833,2,Done,BTBT_theta=20.0_a=7.5_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,20.0,-34.05067553,-10.56051639,-3.232410686,1,Done,BTBT_theta=20.0_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.5,20.0,-37.83634296,-3.322389346,-7.797891067,2,Done,BTBT_theta=20.0_a=7.3_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.5,20.0,-37.95373753,-3.322389346,-7.82723971,2,Done,BTBT_theta=20.0_a=7.4_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,20.0,-33.98152393,-10.69327241,-3.148744778,1,Done,BTBT_theta=20.0_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
