a,b,theta,E,E_p1,E_t,machine_type,status,file_name
3.6,12.9,5,-53.74324456,-12.76971555,-7.050953364,1,Done,hexacene_theta=5_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,5,-53.64649507,-13.25813796,-6.782554787,1,Done,hexacene_theta=5_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,5,-53.49134949,-13.14292712,-6.801373812,2,Done,hexacene_theta=5_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13,5,-53.4387265,-12.66115632,-7.029103466,2,Done,hexacene_theta=5_a=3.9_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13,5,-53.15351066,-12.76971555,-6.903519889,1,Done,hexacene_theta=5_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,5,-52.80625918,-13.25813796,-6.572495814,1,Done,hexacene_theta=5_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,5,-52.47577476,-12.76971555,-6.734085914,1,Done,hexacene_theta=5_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,5,-51.725072,-12.76971555,-6.546410224,1,Done,hexacene_theta=5_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,5,-50.91427887,-12.76971555,-6.343711943,1,Done,hexacene_theta=5_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13,5,-49.68836279,-11.25694582,-6.793617788,1,Done,hexacene_theta=5_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,5,-49.1303056,-11.25694582,-6.65410349,1,Done,hexacene_theta=5_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,5,-48.48319219,-11.25694582,-6.492325137,1,Done,hexacene_theta=5_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.3,5,-47.76168119,-11.25694582,-6.311947387,1,Done,hexacene_theta=5_a=3.5_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,5,-42.53886525,-8.187116695,-6.541157965,1,Done,hexacene_theta=5_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,5,-42.00929701,-8.187116695,-6.408765905,1,Done,hexacene_theta=5_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.3,5,-41.38994464,-8.187116695,-6.253927813,1,Done,hexacene_theta=5_a=3.4_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,10,-65.20409974,-4.11988553,-14.24108217,1,Done,hexacene_theta=10_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,10,-26.36248576,-0.0266629,-6.577289991,1,Done,hexacene_theta=10_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,10,-66.71085165,-4.405653584,-14.47488612,2,Done,hexacene_theta=10_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,10,-65.74217702,-4.11988553,-14.37560149,1,Done,hexacene_theta=10_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,10,-64.64074636,-3.777767078,-14.27130305,1,Done,hexacene_theta=10_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,10,-66.25522921,-4.405653584,-14.36098051,1,Done,hexacene_theta=10_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,10,-64.02438096,-3.777767078,-14.1172117,1,Done,hexacene_theta=10_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.2,10,-65.44950637,-4.405653584,-14.1595498,1,Done,hexacene_theta=10_a=6.7_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.3,10,-64.33693114,-4.11988553,-14.02429002,1,Done,hexacene_theta=10_a=6.7_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.4,10,-63.09950652,-3.777767078,-13.88599309,1,Done,hexacene_theta=10_a=6.7_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,10,-67.35398666,-4.590725108,-14.54313411,1,Done,hexacene_theta=10_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,10,-66.71946109,-4.405653584,-14.47703848,1,Done,hexacene_theta=10_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,10,-65.85783966,-4.11988553,-14.40451715,1,Done,hexacene_theta=10_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,10,-67.4570489,-4.590725108,-14.56889967,1,Done,hexacene_theta=10_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.1,10,-67.08807302,-4.590725108,-14.4766557,1,Done,hexacene_theta=10_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7,10,-66.84906702,-4.637976611,-14.39327845,1,Done,hexacene_theta=10_a=6.3_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.1,10,-66.66362526,-4.590725108,-14.37054376,1,Done,hexacene_theta=10_a=6.3_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.2,10,-66.16946113,-4.405653584,-14.33953849,1,Done,hexacene_theta=10_a=6.3_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7,10,-67.68568842,-4.637976611,-14.6024338,1,Done,hexacene_theta=10_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7,10,-67.90544242,-4.637976611,-14.6573723,1,Done,hexacene_theta=10_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,6.9,10,-66.62995308,-4.500859401,-14.40705857,1,Done,hexacene_theta=10_a=6.3_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,6.9,10,-67.61971204,-4.500859401,-14.65449831,1,Done,hexacene_theta=10_a=6.4_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,10,-67.96167988,-4.500859401,-14.73999027,1,Done,hexacene_theta=10_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,6.8,10,-66.98737022,-4.096272328,-14.69870639,1,Done,hexacene_theta=10_a=6.4_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.8,10,-67.4581031,-4.096272328,-14.81638961,1,Done,hexacene_theta=10_a=6.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.8,10,-67.3760499,-4.096272328,-14.79587631,1,Done,hexacene_theta=10_a=6.6_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,10,-67.77912468,-4.500859401,-14.69435147,1,Done,hexacene_theta=10_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7,10,-67.6273551,-4.637976611,-14.58785047,1,Done,hexacene_theta=10_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13,10,-45.25849359,-9.385811397,-6.621717699,1,Done,hexacene_theta=10_a=3.4_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,10,-44.73570246,-9.385811397,-6.491019916,1,Done,hexacene_theta=10_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,10,-44.11469346,-9.385811397,-6.335767667,2,Done,hexacene_theta=10_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13,10,-51.74394749,-12.39460262,-6.738685563,2,Done,hexacene_theta=10_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,10,-50.37135722,-12.39460262,-6.395537994,2,Done,hexacene_theta=10_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13,10,-54.94148745,-13.82649259,-6.822125567,2,Done,hexacene_theta=10_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,10,-54.18774754,-13.82649259,-6.633690589,2,Done,hexacene_theta=10_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,10,-53.36859598,-13.82649259,-6.428902701,2,Done,hexacene_theta=10_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,12.9,10,-52.29096051,-12.39460262,-6.875438817,2,Done,hexacene_theta=10_a=3.5_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,10,-55.61430367,-13.82649259,-6.990329623,2,Done,hexacene_theta=10_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,10,-56.72445672,-14.22390095,-7.069163704,2,Done,hexacene_theta=10_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13,10,-55.94197685,-14.22390095,-6.873543737,2,Done,hexacene_theta=10_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,10,-55.09526505,-14.22390095,-6.661865788,2,Done,hexacene_theta=10_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.8,10,-56.18855062,-13.82649259,-7.133891361,2,Done,hexacene_theta=10_a=3.6_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,10,-57.42686631,-14.22390095,-7.244766103,2,Done,hexacene_theta=10_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,10,-57.31432866,-14.02294087,-7.317111731,2,Done,hexacene_theta=10_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,10,-56.50142711,-14.02294087,-7.113886342,2,Done,hexacene_theta=10_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13,10,-55.62584986,-14.02294087,-6.894992029,2,Done,hexacene_theta=10_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.7,10,-56.64347027,-13.82649259,-7.247621273,2,Done,hexacene_theta=10_a=3.6_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,10,-58.03105804,-14.22390095,-7.395814035,2,Done,hexacene_theta=10_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,10,-58.04823926,-14.02294087,-7.500589379,2,Done,hexacene_theta=10_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.6,10,-58.51607307,-14.22390095,-7.517067792,2,Done,hexacene_theta=10_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,10,-58.6848858,-14.02294087,-7.659751016,2,Done,hexacene_theta=10_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,10,-57.96632409,-13.47067559,-7.756243228,2,Done,hexacene_theta=10_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,10,-57.19925587,-13.47067559,-7.564476172,2,Done,hexacene_theta=10_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,10,-56.35490352,-13.47067559,-7.353388084,2,Done,hexacene_theta=10_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.5,10,-58.85786522,-14.22390095,-7.602515829,2,Done,hexacene_theta=10_a=3.7_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
