a,b,theta,E,E_t,machine_type,status,file_name,E_p1,E_p2
6.0,9.0,40.0,-33.286456203553826,-6.548957914230414,2,Done,BTBT_a=6.0_b=9.0_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3781814519315958,-3.167130821384489
8.0,6.5,35.0,-38.23029373725876,-7.501097662374377,2,Done,BTBT_a=8.0_b=6.5_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.680923459120095,-0.4320280847605318
6.0,9.5,35.0,-30.81660194322467,-6.261608534958214,1,Done,BTBT_a=6.0_b=9.5_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3040662456769496,-2.581017656018957
7.5,6.0,35.0,-30.02926514716819,-4.591591071570292,1,Done,BTBT_a=7.5_b=6.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-5.180710009997711,-0.6507404204457998
6.5,9.0,30.0,-30.072011127136648,-6.626141644199379,2,Done,BTBT_a=6.5_b=9.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4920619663316756,-1.2916603088378906
6.0,9.0,45.0,-35.45986218797043,-6.772721705026925,2,Done,BTBT_a=6.0_b=9.0_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.317174929426983,-3.867312754504383
6.5,8.5,20.0,-29.88916726456955,-6.580910723540001,1,Done,BTBT_a=6.5_b=8.5_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.9013428138568996,-0.8814193713478744
3.5,12.0,20.0,-23.03106027329341,-1.903338231611997,2,Done,BTBT_a=3.5_b=12.0_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0603727374691516,-7.648480935953557
3.5,12.0,25.0,-23.383394588250667,-2.594446370145306,1,Done,BTBT_a=3.5_b=12.0_theta=25.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0671498451847583,-6.435654708649963
6.0,9.5,40.0,-32.22725697280839,-6.339890407398343,1,Done,BTBT_a=6.0_b=9.5_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2667168502230197,-3.167130821384489
7.5,6.0,20.0,-33.241953193210065,-7.984920422662981,2,Done,BTBT_a=7.5_b=6.0_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3223393366206437,-0.3287964146584272
6.0,9.0,50.0,-36.99900616612285,-6.8186554370913655,2,Done,BTBT_a=6.0_b=9.0_theta=50_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2580572122242301,-4.604134996654466
6.5,9.0,35.0,-31.0032359668985,-6.731971205445007,2,Done,BTBT_a=6.5_b=9.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4382341587916016,-1.5994414137676358
6.5,8.5,25.0,-30.34886853955686,-6.640819103107788,1,Done,BTBT_a=6.5_b=8.5_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.8360754987224936,-1.0567205648403617
3.5,12.0,30.0,-15.92348040547222,-3.133860241039656,1,Done,BTBT_a=3.5_b=12.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0700175655074417,-1.6240021551493555
4.0,12.0,25.0,-35.46273618424311,-3.475991243380122,2,Done,BTBT_a=4.0_b=12.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0671498451847583,-10.712235760176554
6.0,9.5,45.0,-33.33542708307505,-6.287311344523914,1,Done,BTBT_a=6.0_b=9.5_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2257780979853123,-3.867312754504383
6.0,9.0,55.0,-37.36835855292156,-6.6499995744088665,2,Done,BTBT_a=6.0_b=9.0_theta=55_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2034701176453381,-5.180710009997711
6.5,9.0,40.0,-31.911380990874022,-6.790750067448244,2,Done,BTBT_a=6.5_b=9.0_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3781814519315958,-1.9960089086089283
